名称,链接,类型,卫生间,床数量,卧室数量,容纳人数,价格,评论数,特色,位置,出行信息,,,,
豪庭日租别墅1,"https://www.airbnb.cn/rooms/29787002?s=lL8DwLxp&guests=1&adults=1
",整套联排别墅,4个卫生间,7张床,4间卧室,最多住10人,2180,0,,,,,,,
豪庭日租别墅2,"https://www.airbnb.cn/rooms/29787598?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,3个卫生间,8张床,5间卧室,最多住12人,2380,0,,,,,,,
四季民宿,"https://www.airbnb.cn/rooms/29871348?s=lL8DwLxp&guests=1&adults=1
",整套房子,1间卫生间,1张床,单间公寓,最多住1人,990,0,,,,,,,
清远古龙峡漂流(玻璃栈道)清泉湾景点:竹溪小栈大床亲子房,"https://www.airbnb.cn/rooms/29995526?s=lL8DwLxp&guests=1&adults=1
",农家乐里的独立房间,1个独立卫生间,6张床,3间卧室,最多住9人,260,0,"空气清新而宁静,整栋房子被竹海围绕着,每一口呼吸都是满满的负离子,附近有好几公里的小溪流水,可以溹溪,玩水,爬山,看瀑布,独栋超大院子,可以骑单车,打篮球,羽毛球,乒乓球,一楼两个客厅,有桌面足球,电动麻将机｡三楼超大天台,风景秀丽,满眼绿色,阳光房里有茶道,卡拉OK｡可做饭,烧烤｡晚上娱乐和客房分隔开两个区域,互不干扰｡院子后面也有清澈的小溪流水,可以玩水,烧烤,在超大的平台可以欣赏到青山绿水的风景｡门前菜地,后院的小溪边,随便找个地,起个火炉,煨鸡､煨番薯､做竹筒饭,找回儿时的乐趣｡小栈旁边步行5分钟有个超级无敌一千多平米的山泉水大游泳池,快和伙伴们来飚泳技吧!附近有两大漂流景点,古龙峡(玻璃栈道)和清泉湾水上世界,最适合朋友聚会,一家大小休闲娱乐｡","远离喧嚣的城市,车水马龙,这里空气清新而宁静,有清澈的小溪,喝的用的都是山泉水,离著名景点古龙峡漂流和清泉湾只有十多分钟车程｡","有高速和低速,高速走清连互通,龙颈､珠坑出口,低速走古龙峡方向｡",,,,
英德度假温泉旅游小镇北欧风格大3房整租,"https://www.airbnb.cn/rooms/30031851?s=lL8DwLxp&guests=1&adults=1
",整套公寓,2个卫生间,3张床,3间卧室,最多住6人,488,1,,"往前200米可到达网红宝墩湖酒店度假村,里面有温泉,还有网红拍照胜地,环境优美,500米可到达奇洞温泉度假村,设施完善,环境优美!温泉是国家级的哦~",,,,,
清远古龙峡漂流(玻璃栈道)清泉湾景点:竹溪小栈两房一厅,"https://www.airbnb.cn/rooms/30096378?s=lL8DwLxp&guests=1&adults=1
",农家房,1间卫生间,4张床,2间卧室,最多住6人,580,0,"空气清新而宁静,整栋房子被竹海围绕着,每一口呼吸都是满满的负离子,附近有好几公里的小溪流水,可以溹溪,玩水,爬山,看瀑布,独栋超大院子,可以骑单车,打篮球,羽毛球,乒乓球,一楼两个客厅,有桌面足球,电动麻将机｡三楼超大天台,风景秀丽,满眼绿色,阳光房里有茶道,卡拉OK｡可做饭,烧烤,烤全羊｡晚上娱乐和客房分隔开两个区域,互不干扰｡院子后面也有清澈的小溪流水,可以玩水,溪边烧烤,在超大的平台可以欣赏到青山绿水的风景｡门前菜地,后院小溪边随便找个地起个火炉,煨鸡､煨番薯､做竹筒饭,找回儿时的乐趣｡小栈旁边步行5分钟有个超级无敌一千多平米的山泉水大游泳池,快和伙伴们来飚泳技吧!附近有两大漂流景点,古龙峡(玻璃栈道)和清泉湾水上世界,最适合朋友聚会,一家大小休闲娱乐｡","远离喧嚣的城市,车水马龙,这里空气清新而宁静,有清澈的小溪,喝的用的都是山泉水,离著名景点古龙峡漂流和清泉湾只有十多分钟车程｡","有高速和低速,高速走清连互通,龙颈､珠坑出口,低速走古龙峡方向｡",,,,
清远恒大金碧天下别墅人古龙峡旁近银盏温泉,"https://www.airbnb.cn/rooms/30191911?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,3个卫生间,16张床,8间卧室,16位及更多房客,1680,0,,,,,,,
英德奇洞温泉小镇汤山别院豪华别墅特惠房含两人溶洞温泉票,"https://www.airbnb.cn/rooms/30211700?s=lL8DwLxp&guests=1&adults=1
",度假村里的独立房间,1个独立卫生间,1张床,单间公寓,最多住2人,888,0,"奇洞温泉小镇是国家AAAA级景区,是广东省内以自然溶洞生态景观为主题的温泉度假区｡可让都市人逃脱烦嚣､寻找静逸｡度假区建筑风格糅合了东南亚及客家民居的特色,将石英溶洞､田园风光､温泉池､度假别墅完美结合,质朴典雅｡

私密空间,聚会party详情:

设施:免费WiFi,书房､厨房､自动麻将厅､露台､车库一应俱全,还有一个独立的带温泉池的小庭院;(含一池温泉水)

厨房:厨房设施齐全,有电磁炉､烧烤炉､锅碗瓢盆等,免费使用(客人需要自备食材),无需另收清洁费;

烧烤:烧烤炉免费使用,需提前与管家预约｡需自备一次性碗筷､食材和配料等,无需另收清洁费｡

不含早餐,含溶洞露天温泉区门票和水上乐园门票,详细请咨询客服


温馨提示:
1､入住时需交200元押金,退房时无损坏任何物品则全额退还;
2､证件及贵重物品请随身携带以免丢失;
3､入住时需出示身份证登记(一人一证)｡
 

房屋使用权限

别墅,厨房烹饪,独立温泉池,自动麻将,烧烤炉具,户外小花园",世外桃源,直接导航奇洞温泉度假村即可到达,,,,
(连着两套)清远碧桂园温泉ktv麻将烧烤望湖东南亚风四房别墅,"https://www.airbnb.cn/rooms/30239077?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,4个卫生间,16张床,8间卧室,16位及更多房客,1180,2,"哈喽~这是两套连在一起的别墅,装修风格一致,分别都是四房8床的房型哦｡若直接预定就只能提供一套四房别墅给亲们哈,若人较多需要订两套请提前咨询我哦~(由于房源多套,可去我主页查看其他别墅哈)｡别墅独栋以东南亚风格为主,环境好且舒适,厨房可做饭,Wi-Fi覆盖｡内有麻将,KTV,花园带私人泡池,提供电烤炉烧烤,活动场地足够!
•注意哦:为了避免给邻居带来骚扰,唱k时间最迟在晚上十点以前结束｡
别墅内自带有温泉池,预订可免费赠送一池温泉水,第二池开始每池加200｡
•周边配套丰富,有购物广场,超市,商业街,医院等｡出碧桂园大道5分钟左右有一大片农庄,具有特色的臭屁醋,三斤鸡等推荐尝试哦~
•碧桂园清泉城内有温泉谷,需买票｡附近有英伦小镇,都是一些欧式建筑,可以拍拍照~5分钟左右车程可达森波拉温泉,森波拉奇妙世界,,附近还有田野绿,观音山,稍远还有金龟池,聚龙湾温泉｡
•走京广澳高速佛冈出口5公里直达碧桂园清泉城,到佛冈镇中心15-20分钟车程;佛冈汽车站15分钟左右即到,也有专门大巴到达清泉城｡",,,,,,
清远恒大旅游城古龙峡漂流云天玻璃桥温泉度假别墅03,"https://www.airbnb.cn/rooms/30259281?s=lL8DwLxp&guests=1&adults=1
",整套联排别墅,3个卫生间,7张床,4间卧室,最多住9人,1380,0,"房屋配有前后花园,落地窗,有厨房,烧烤炉,自动麻将机,独立KTV房,别墅干净卫生,舒适豪华,可容纳的人数较多,也可加床,适合家庭度假,公司,同学聚会｡免费停车,使用标准的一次性用品!毛巾,床品一客一换!专属管家服务,专职阿姨清洁卫生!","清远恒大内有开心农场,恒大自助餐,美食中心东南西北各大美食;
小区设有生鲜超市,华润万家超市,美宜佳,医院｡
清远恒大饮食中心,娱乐,运动,商业,会议,健康中心,运动中心有真人cs对抗赛,恒温游泳池,桑拿房,健身房,单车,足球场,篮球场,网球场,羽毛球,桌球,乒乓球等运动设施｡有人工湖碰碰电动船;山顶公园,儿童滑滑梯,松鼠营,假山瀑布免费游玩｡娱乐中心有各种儿童设施｡","别墅位于恒大世纪旅游城内,距离新银盏温泉20-30分钟车程,古龙峡玻璃大峡谷+国际漂流,清泉湾漂流+水上乐园,龙腾峡15分钟车程,英西峰林35-40分钟车程,清远市区20分钟车程,广州市60分钟车程,深圳市120分钟｡",,,,
蝴蝶谷秘境-自游穿越-精品私墅,"https://www.airbnb.cn/rooms/30298139?s=lL8DwLxp&guests=1&adults=1
",原生宅穴里的独立房间,1个独立卫生间,1张床,1间卧室,最多住2人,138,0,"在清远英德蝴蝶谷秘境的湖边,有一所房子,面朝湖边,春暖花开!蝴蝶纷飞,鸟语花香!幽幽山谷,独自一人!空气清新,群山环绕!

住宿费是单独计算的,入住需要坐船进入,船费是按照往返300元收费的｡

车只能开到码头,越野车可以开到房子对面的湖边,还是需要乘船到达｡

餐费也是单独计算的,正餐按照50元/人计算,早餐按照20元/人计算的!",非常舒服安静!,"可以开车到湖边码头,坐船进入,然后到达精品私墅｡",,,,
清远佛冈温泉麻将精装4房别墅6-10,"https://www.airbnb.cn/rooms/30369339?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,3个卫生间,6张床,4间卧室,最多住9人,899,0,"别墅独栋以东南亚风格为主,环境好且舒适,厨房可做饭,Wi-Fi覆盖｡内有麻将,花园带私人泡池,提供电烤炉烧烤,活动场地足够!
•注意哦:为了避免给邻居带来骚扰,唱k时间最迟在晚上十点以前结束｡
别墅内自带有温泉池,预订可免费赠送一池温泉水,第二池开始每池加200｡
•周边配套丰富,有购物广场,超市,商业街,医院等｡出碧桂园大道5分钟左右有一大片农庄,具有特色的臭屁醋,三斤鸡等推荐尝试哦~
•碧桂园清泉城内有温泉谷,需买票｡附近有英伦小镇,都是一些欧式建筑,可以拍拍照~5分钟左右车程可达森波拉温泉,森波拉奇妙世界,,附近还有田野绿,观音山,稍远还有金龟池,聚龙湾温泉｡
•走京广澳高速佛冈出口5公里直达碧桂园清泉城,到佛冈镇中心15-20分钟车程;也有专门大巴到达清泉城｡",,,,,,
恒大好自然6号别墅,"https://www.airbnb.cn/rooms/30485924?s=lL8DwLxp&guests=1&adults=1
",整套联排别墅,2.5个卫生间,5张床,4间卧室,最多住8人,988,0,"舒适宽敞的中式风格约200平方三层四房联排别墅,有前后花园,整栋出租可住8~10人,如有更多客人可点击房东头像预定多间别墅","这里四面环山,原生态森林,纯天然氧吧,平均温度比市区低,小区内有多个公园,亭台楼阁景色优美,有儿童活动区,免费室外篮球场,也邻近恒大酒店和各休闲娱乐中心,是您旅途休闲的好地方","自驾可由清连高速龙颈出囗右转前行一公里左右进入小区,也可走107国道经古龙峡,清泉湾等旅游胜地来到这里
市区312公交线路经小区门口(恒大金碧天下站点)
小区内每天有多班楼巴往返广州以泰广场和清新体育馆",,,,
清远恒大世纪旅游城古龙峡漂流云天玻璃桥豪华别墅01,"https://www.airbnb.cn/rooms/30569464?s=lL8DwLxp&guests=1&adults=1
",整套联排别墅,3个卫生间,7张床,4间卧室,最多住10人,1380,2,"房屋配有前后花园,落地窗,有厨房,烧烤炉,自动麻将机,独立KTV房,别墅干净卫生,舒适豪华,可容纳的人数较多,也可加床,适合家庭度假,公司,同学聚会｡ 免费停车,使用标准的一次性用品!毛巾,床品一客一换!专属管家服务,专职阿姨清洁卫生!",,"别墅位于清远市恒大世纪旅游城内,距离新新盏温泉20-30分钟车程,古龙峡玻璃大峡谷+国际漂流,清远湾漂流+水上乐园,龙腾峡15分钟车程,英西峰林35-40分钟车程,清远市区20分钟车程,广州市60分钟车程,深圳市120分钟车程｡ 位于恒大金碧天下,楼盘面积比较大,小区内每十分钟一趟穿梭巴士｡按时间段有楼巴到清新体育馆和广州的｡小区门口也有公交312可以乘坐直达市区｡",,,,
清远佛冈碧桂园温泉带麻将舒适两房公寓,"https://www.airbnb.cn/rooms/30753797?s=lL8DwLxp&guests=1&adults=1
",整套公寓,1间卫生间,2张床,2间卧室,最多住4人,628,1,"公寓带麻将,有两间房,一间有两张1.5米的双人床,另一间是没有床的哦~公寓距离碧桂园内的温泉谷""凤凰湾""有1公里的路程(含双早,不包含温泉门票哦)~
•周边配套丰富,有购物广场,超市,商业街,医院等｡出碧桂园大道5分钟左右有一大片农庄,具有特色的臭屁醋,三斤鸡等推荐尝试哦~
•碧桂园清泉城内有温泉谷,需买票｡附近有英伦小镇,都是一些欧式建筑,可以拍拍照~5分钟左右车程可达森波拉温泉,森波拉奇妙世界,,附近还有田野绿,观音山,稍远还有金龟池,聚龙湾温泉｡
•走京广澳高速佛冈出口5公里直达碧桂园清泉城,到佛冈镇中心15-20分钟车程;也有专门大巴到达清泉城｡",,,,,,
清远恒大世纪旅游城古龙峡豪华度假别墅近新银盏温泉,"https://www.airbnb.cn/rooms/30761525?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,4个卫生间,12张床,6间卧室,最多住15人,1380,0,,,,,,,
"英德温泉小镇圣诞主题套房,全新大三房,可烧烤,可做饭","https://www.airbnb.cn/rooms/30829879?s=lL8DwLxp&guests=1&adults=1
",整套公寓,2个卫生间,3张床,3间卧室,最多住6人,488,0,,"往前200米可到达网红宝墩湖酒店度假村,里面有温泉,还有网红拍照胜地,环境优美,500米可到达奇洞温泉度假村,设施完善,环境优美!温泉是国家级的哦~",,,,,
【倾心.之家】近玻璃栈道.温泉.赢之城和顺盈广场,"https://www.airbnb.cn/rooms/30928130?s=lL8DwLxp&guests=1&adults=1
",整套公寓,1间卫生间,1张床,1间卧室,最多住2人,98,0,"房间总面积49平方,现代小清新风格的装修,房间全新宽敞明亮,配备舒适的1米8大床和床铺,相信你一定会舒舒服服的睡个好觉!大景观露台,免费百兆WIFI! 床品每客更换,清洁,每日都有专职阿姨打扫房间,保证卫生条件! 餐厅厨房设备齐全",,"出公寓大门右手边就有个公交车站,公交站经常有出租车经过!",,,,
英德蝴蝶谷一间野墅,"https://www.airbnb.cn/rooms/30964203?s=lL8DwLxp&guests=1&adults=1
",原生宅穴,1间卫生间,2张床,2间卧室,最多住6人,888,0,"独家秘境,原生宅穴,位于广东省清远市蝴蝶谷内,秘境内无信号,游玩路线属独家开发,无工作人员带领,个人或车辆无法进入,适合封闭式度假放松,宁静安逸,不受外界任何干扰｡

娱乐活动(自选):看书(建议自带),游船,游泳戏水､烧烤､露营､采摘新鲜水果､逛茶园､采蘑菇等｡

管家式服务,专人管理,提供向导､司机､下厨､开船､摄影､清洁､安保等一体式配套服务｡可另外提供接送机､广东及周边旅游定制等服务｡

食物均产自乡下农家,原生态新鲜,可根据客人需求,提供不同菜式｡

所有床单被套､洗漱用品等日用品均为高级环保材质,洗漱用品用完后可带回家继续使用｡

全国预订,可住2-6人｡联系电话: (Phone number hidden by Airbnb) (古小姐)","一间野墅视频链接:

其他相关视频:
 (Website hidden by Airbnb)",,,,,
古龙峡漂流(玻璃栈道)清泉湾景点:竹溪小栈两房一厅,"https://www.airbnb.cn/rooms/30974177?s=lL8DwLxp&guests=1&adults=1
",农家房,1间卫生间,4张床,2间卧室,最多住6人,600,0,"空气清新而宁静,整栋房子被竹海围绕着,每一口呼吸都是满满的负离子,附近有好几公里的小溪流水,可以溹溪,玩水,爬山,看瀑布,独栋超大院子,可以骑单车,打篮球,羽毛球,乒乓球,一楼两个客厅,有桌面足球,电动麻将机｡三楼超大天台,风景秀丽,满眼绿色,阳光房里有茶道,卡拉OK｡可做饭,烧烤,烤全羊｡晚上娱乐和客房分隔开两个区域,互不干扰｡院子后面也有清澈的小溪流水,可以玩水,溪边烧烤,在超大的平台可以欣赏到青山绿水的风景｡门前菜地,后院小溪边随便找个地,起个火炉,煨鸡､煨番薯､做竹筒饭,找回儿时的乐趣｡小栈旁边步行5分钟有个超级无敌一千多平米的山泉水大游泳池,快和伙伴们来飚泳技吧!附近有两大漂流景点,古龙峡(玻璃栈道)和清泉湾水上世界,最适合朋友聚会,一家大小休闲娱乐｡","远离喧嚣的城市,车水马龙,这里空气清新而宁静,有清澈的小溪,喝的用的都是山泉水,离著名景点古龙峡漂流和清泉湾只有十多分钟车程｡","有高速和低速,高速走清连互通,龙颈､珠坑出口,低速走古龙峡方向｡",,,,
"天空之城,森林里的复式观景微墅,佛冈碧桂园聚会度假趴体好嗨哦","https://www.airbnb.cn/rooms/31065312?s=lL8DwLxp&guests=1&adults=1
",整间Loft,1间卫生间,3张床,2间卧室,最多住4人,497,1,"距离广州､佛山仅一个多小时路程,在森系度假区里的难得好户型,双层窗宽大视野观景,边位明亮,休闲阳台,二楼两个独立卧室,冰箱､空调､电视､WiFi､洗衣机均有,高档床垫,舒适床品,不靠马路,环境安静,在清新空气中的森林微墅尽享舒适睡眠｡公共区域有山泉水泳池､休闲会所,小区温泉､景观湖､登羊角山､英伦小镇写真…天然､富氧､健康｡您带家人或朋友小聚,尽享自驾游的乐趣｡",山泉水泳池､休闲会所､温泉､半山网球场､篮球场､足球场,"因为度假区面积较大,建议自驾游｡也有3路公交车直达｡",,,,
佛冈碧桂园清泉城绿野仙踪度假屋,"https://www.airbnb.cn/rooms/31068074?s=lL8DwLxp&guests=1&adults=1
",整套酒店式公寓,1间卫生间,2张床,2间卧室,最多住3人,111,2,"佛冈碧桂园清泉城的山居小两房一厅,设施新,空气好｡","进入碧桂园大道前行3分钟,左手边3号岗入口｡森林度假区里的山景房,安静,空气好｡","楼下有停车位｡1小时之内免费｡超过1小时候后1元每小时,单次12小时内,3元封顶｡",,,,
"景观美丽的北欧风度假屋,碧桂园清泉城网红民宿","https://www.airbnb.cn/rooms/31068338?s=lL8DwLxp&guests=1&adults=1
",整套酒店式公寓,1间卫生间,2张床,2间卧室,最多住3人,362,0,"佛冈碧桂园清泉城的北欧风度假美舍,适合情侣或者一家三口入住","森林度假区里的山景房,安静,空气好｡","楼下有停车位｡1小时之内免费｡超过1小时候后1元每小时,单次12小时内,3元封顶｡",,,,
暖窝,"https://www.airbnb.cn/rooms/31242949?s=lL8DwLxp&guests=1&adults=1
",整套公寓,1间卫生间,1张床,1间卧室,最多住2人,168,1,"暖窝位于京港澳高速佛冈出口北上106国道5公里处,交通便利,环境优美,是旅游度假的好地方｡奥园周围有许多各具特色的农家乐,满足您不用胃口的需要｡附近还有著名的森波拉度假区,分分钟让您流连忘返｡","奥园环境优美,周边有许多农家乐,还有著名的森波拉度假区｡方圆十公里内,有聚龙湾度假区､观音山､王山寺､荷花小镇､上岳古民居､金龟泉､田野绿世界等著名景点｡","奥园有保安24小时巡逻,设有门禁,客人必须刷卡出入,公寓前面有许多停车位,我会为你提供免费停车｡如果你是环保人士,出了公寓,步行五分钟来到国道边,非常多公交经过,完全满足你出行的需要｡",,,,
"清远市佛冈清泉城文艺型独栋温泉别墅带KTV.麻将台,独栋220平方,花园250平方｡","https://www.airbnb.cn/rooms/31457262?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,3个卫生间,7张床,4间卧室,最多住13人,900,0,,,,,,,
清远佛冈碧桂园4房别墅独栋酒店度假带麻将烧烤【全新装修】,"https://www.airbnb.cn/rooms/31477228?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,4个卫生间,7张床,4间卧室,最多住13人,999,0,"独立别墅多种风格:带麻将,烧烤炉,KTV,乒乓球等
这里独栋别墅,视野开阔,四周群山环绕,景色优美,是旅游度假聚会的好地方
周边旅游资源丰富,聚集了凤凰湾温泉,森波拉奇妙世界､观音山风景区､聚龙湾度假区等","地址:清远佛冈碧桂园林泉谷5号
路线:导航至碧桂园,有个【森林里】的大牌子的小区,转入小区,第一个路口右转第三间别墅","文通便利,由京珠高速至广州仅1小时左右车程,通往深圳､东莞､佛山等地仅需1.5-2.5小时｡距离佛冈县城10分钟车程｡
周边旅游资源丰富,聚集了凤凰湾温泉,森波拉温泉度假村､聚龙湾天然温泉度假村､观音山省级风景区､龙啸峡漂流､田野绿世界等旅游度假项目｡",,,,
巴厘岛鸣泉居独栋五房别墅,"https://www.airbnb.cn/rooms/31498477?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,4个卫生间,6张床,5间卧室,最多住12人,3080,0,"碧桂园·清泉城坐落于佛冈之“三大旅游经济圈”中的“羊角山森林闲情山水旅游经济圈”,山水环境得天独厚,背靠3万亩羊角山森林国家公园,空气质量8倍优于广州(PM2.5仅0.002,负氧离子浓度高达31500个/cm³),内部餐饮商超等生活设施配套齐全,经由京珠高速至广州市区仅需1小时车程｡","巴厘鸣泉居处清泉城内半山别墅,山水环境得天独厚,背靠3万亩羊角山森林国家公园,空气质量8倍优于广州(PM2.5仅0.002,负氧离子浓度高达31500个/cm³)",,,,,
清远碧桂园温泉度假欧式三房,"https://www.airbnb.cn/rooms/31554434?s=lL8DwLxp&guests=1&adults=1
",整套公寓,1间卫生间,3张床,3间卧室,最多住5人,399,0,"位与清远碧桂园清泉城内,开车3 分钟能到森波拉｡下楼即到英伦小镇",,,,,,
清远佛冈碧桂园7房露天大温泉池独立KTV别墅19街8号,"https://www.airbnb.cn/rooms/31575242?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,1间卫生间,13张床,7间卧室,16位及更多房客,1999,0,"别墅独栋以东南亚风格为主,环境优美且舒适,厨房可做饭,wifi覆盖｡内有麻将,KTV,花园带私人泡池,提供电烤炉烧烤,活动场地足够!","周边配套丰富,有购物广场 超市 商业街 医院等｡除碧桂园大道5分钟左右有一大片农庄,具有特色的臭屁醋,三斤鸡等推荐尝试哦!","走京广澳高速佛冈出口5公里直达碧桂园清泉城,到佛冈镇中心15-20分钟车程､也有专门大巴到达清泉城",,,,
碧桂园清泉城6房欧式温泉池KTV别墅19街6号,"https://www.airbnb.cn/rooms/31576054?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,3个卫生间,11张床,6间卧室,最多住13人,1750,0,"别墅独栋以欧式东南亚风格为主,环境优美且舒适,厨房可以做饭,wifi覆盖｡内有麻将,KTV,花园带私人泡池,提供电烤炉烧烤,活动场地足够!","周边配套丰富,有购物广场 商业街 超市 医院等｡出碧桂园大道5分钟左右有一片农庄,具有特色臭屁醋,三斤鸡等推荐尝试哦!",,,,,
奇洞温泉汤山别院别墅整栋含八人溶洞温泉,"https://www.airbnb.cn/rooms/31581861?s=lL8DwLxp&guests=1&adults=1
",度假村里的独立房间,3个卫生间,4张床,4间卧室,最多住8人,2688,0,"奇洞温泉小镇是国家AAAA级景区,是广东省内以自然溶洞生态景观为主题的温泉度假区｡可让都市人逃脱烦嚣､寻找静逸｡度假区建筑风格糅合了东南亚及客家民居的特色,将石英溶洞､田园风光､温泉池､度假别墅完美结合,质朴典雅｡

私密空间,聚会party详情:

设施:免费WiFi,书房､厨房､自动麻将厅､露台､车库一应俱全,还有一个独立的带温泉池的小庭院;(含一池温泉水)

厨房:厨房设施齐全,有电磁炉､烧烤炉､锅碗瓢盆等,免费使用(客人需要自备食材),无需另收清洁费;

烧烤:烧烤炉免费使用,需提前与管家预约｡需自备一次性碗筷､食材和配料等,无需另收清洁费｡

不含早餐,含溶洞露天温泉区门票和水上乐园门票,详细请咨询客服


温馨提示:
1､入住时需交500元押金,退房时无损坏任何物品则全额退还;
2､证件及贵重物品请随身携带以免丢失;
3､入住时需出示身份证登记(一人一证)｡


房屋使用权限

别墅,厨房烹饪,独立温泉池,自动麻将,烧烤炉具,户外花园  点击本人头像可预订一间卧室和其他房源哦","安静,世外桃源",,,,,
恒大生态城(古龙峡､云天玻霸玻璃桥､清泉湾､英西峰林､太和古洞)温馨湖山景观4房1厅3卫套房,"https://www.airbnb.cn/rooms/31654092?s=lL8DwLxp&guests=1&adults=1
",整套酒店式公寓,3个卫生间,6张床,4间卧室,最多住13人,568,1,"周边古龙峡漂流､云天玻霸玻璃桥,清泉湾､龙腾峡10分钟车程,英西峰林､牛鱼嘴､太和古洞20~30分钟车程｡生态城内有山顶公园爬山､开心农场烧烤钓鱼､中心湖划船､恒温泳池､KTV､美食街､华润万家､农贸特产市场应有尽有,方便至极,如果幸运的话还会有小松鼠与您对视,极致的生态环境让您体验与大自然最亲密的接触!","周边古龙峡漂流､云天玻霸玻璃桥,清泉湾､龙腾峡10分钟车程,英西峰林､牛鱼嘴､太和古洞20~30分钟车程｡生态城内有山顶公园爬山､开心农场烧烤钓鱼､中心湖划船､恒温泳池､KTV､美食街､华润万家､农贸特产市场应有尽有,方便至极,如果幸运的话还会有小松鼠与您对视,极致的生态环境让您体验与大自然最亲密的接触!","广州①可在地铁2号线越秀公园站A出口右手边50米坐直达楼巴到恒大生态城
②自驾广清~清连高速龙颈出口右手边300米到达园区
③高铁广州南站到清远站约滴滴快车或滴答顺风车到达园区
④深圳､珠海可参考以上路线",,,,
恒大生态城(古龙峡､云天玻霸玻璃桥､清泉湾､英西峰林､太和古洞旁)温馨3房1厅2卫套房,"https://www.airbnb.cn/rooms/31654512?s=lL8DwLxp&guests=1&adults=1
",整套酒店式公寓,2个卫生间,4张床,3间卧室,最多住8人,498,0,"周边古龙峡漂流､云天玻霸玻璃桥,清泉湾､龙腾峡10分钟车程,英西峰林､牛鱼嘴､太和古洞20~30分钟车程｡生态城内有山顶公园爬山､开心农场烧烤钓鱼､中心湖划船､恒温泳池､KTV､美食街､华润万家､农贸特产市场应有尽有,方便至极,如果幸运的话还会有小松鼠与您对视,极致的生态环境让您体验与大自然最亲密的接触!","周边古龙峡漂流､云天玻霸玻璃桥,清泉湾､龙腾峡10分钟车程,英西峰林､牛鱼嘴､太和古洞20~30分钟车程｡生态城内有山顶公园爬山､开心农场烧烤钓鱼､中心湖划船､恒温泳池､KTV､美食街､华润万家､农贸特产市场应有尽有,方便至极,如果幸运的话还会有小松鼠与您对视,极致的生态环境让您体验与大自然最亲密的接触!","广州①可在地铁2号线越秀公园站A出口右手边50米坐直达楼巴到恒大生态城
②自驾广清~清连高速龙颈出口右手边300米到达园区
③高铁广州南站到清远站约滴滴快车或滴答顺风车到达园区
④深圳､珠海可参考以上路线",,,,
巴厘云泉谷9房14床,"https://www.airbnb.cn/rooms/31662965?s=lL8DwLxp&guests=1&adults=1
",整栋别墅,7个卫生间,14张床,9间卧室,16位及更多房客,7880,0,"9房14床,内设封闭式KTV房,可唱通宵｡
内设独立泡茶室,独立会议厅､吧台､宴席布置
2个房间设有独立温泉泡池｡
室外溫泉泡池及無邊泳池",云泉谷山顶别墅,,,,,
连江口温泉入户房,"https://www.airbnb.cn/rooms/31791617?s=lL8DwLxp&guests=1&adults=1
",整套房子,1.5个卫生间,4张床,2间卧室,最多住4人,380,1,"东南亚装饰风格,温泉水入户,附属设施有餐厅.特色温泉池.泳池.游艇俱乐部.KTV｡",在国家级特色小镇观江河晚霞落日与渔夫村夫为邻体验慢生活｡,"自驾高速可走广乐,国道可走G240｡",,,,
山居小院,"https://www.airbnb.cn/rooms/31821600?s=lL8DwLxp&guests=1&adults=1
",农家房,1间卫生间,2张床,2间卧室,最多住4人,266,3,"此房源是用老泥砖房改建的,全部用原木装修环保健康,房间干净整洁,房内设有可以泡功夫茶茶具,房源附近是罗坑湖和罗坑大草原,方圆一公里内可到大岩洞,书房岩探险","山居小院位于黄屋村内,是一个客家人均为黄家姓的村落,村是被罗坑湖､大草原､茶园包围,环境优美",自驾游的有免费停车位提供,,,,
山居小院3,"https://www.airbnb.cn/rooms/31821614?s=lL8DwLxp&guests=1&adults=1
",农家房,1间卫生间,3张床,2间卧室,最多住6人,280,0,"此房源是用老泥砖房改建的,全部用原木装修环保健康,房间干净整洁,房内设有可以泡功夫茶茶具,房源附近是罗坑湖和罗坑大草原,方圆一公里内可到大岩洞,书房岩探险","山居小院位于黄屋村内,是一个客家人均为黄家姓的村落,村是被罗坑湖､大草原､茶园包围,环境优美",自驾游的有免费停车位提供,,,,
